Epoch,Time (s),Memory Usage (MB)
1,1177.8843445777893,1659.4453125
2,852.4962918758392,2.890625
3,862.1702008247375,16.12109375
4,871.1666948795319,-14.11328125
5,879.0173940658569,3.984375
