Epoch,Time (s),Memory Usage (MB)
1,2036.027871131897,386.0
2,2000.1395092010498,3.12890625
3,2000.0830087661743,1.5390625
4,2000.6581828594208,3.0859375
5,2002.400717496872,3.3515625
