Epoch,Time (s),Memory Usage (MB)
1,1814.6771318912506,2672.15234375
2,696.817929983139,-13.50390625
3,699.3650317192078,1.38671875
4,701.0834634304047,0.82421875
5,702.6405673027039,18.1875
