Epoch,Time (s),Memory Usage (MB)
1,1253.643161058426,394.41796875
2,1221.819613456726,0.67578125
3,1222.6793756484985,0.97265625
4,1223.039214372635,0.7578125
5,1224.1880195140839,1.0078125
